key,scenario_id,family,model_key,method_label,context_tokens,context_precision,irrelevant_context_ratio,output_tokens,checklist_opus,leakage_opus,checklist_llama,leakage_llama
ambiguous_reference_001|full_history|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_001,ambiguous_reference,response_a,full_history,594,0.4,0.6262626262626263,113,1.0,0.0,1.0,0.0
ambiguous_reference_001|sliding_window|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_001,ambiguous_reference,response_a,sliding_window@2048,594,0.4,0.6262626262626263,104,1.0,0.0,1.0,0.0
ambiguous_reference_001|sliding_window|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_001,ambiguous_reference,response_a,sliding_window@1024,594,0.4,0.6262626262626263,160,1.0,0.0,1.0,0.0
ambiguous_reference_001|rolling_summary|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_001,ambiguous_reference,response_a,rolling_summary@1024,594,0.4,0.6262626262626263,113,1.0,0.0,1.0,0.0
ambiguous_reference_001|semantic_retrieval|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_001,ambiguous_reference,response_a,semantic_retrieval@1024,594,0.4,0.6262626262626263,104,1.0,0.0,1.0,0.0
ambiguous_reference_001|semantic_retrieval|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_001,ambiguous_reference,response_a,semantic_retrieval@2048,594,0.4,0.6262626262626263,160,1.0,0.0,1.0,0.0
ambiguous_reference_001|oracle_tree|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_001,ambiguous_reference,response_a,oracle_tree,222,1.0,0.0,122,0.6666666666666666,0.0,1.0,0.0
ambiguous_reference_001|oracle_dag|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_001,ambiguous_reference,response_a,oracle_dag,222,1.0,0.0,122,0.6666666666666666,0.0,1.0,0.0
ambiguous_reference_001|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_001,ambiguous_reference,response_b,full_history,594,0.4,0.6262626262626263,149,1.0,0.0,1.0,0.0
ambiguous_reference_001|sliding_window|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_001,ambiguous_reference,response_b,sliding_window@1024,594,0.4,0.6262626262626263,149,1.0,0.0,1.0,0.0
ambiguous_reference_001|rolling_summary|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_001,ambiguous_reference,response_a,rolling_summary@2048,594,0.4,0.6262626262626263,104,1.0,0.0,1.0,0.0
ambiguous_reference_001|sliding_window|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_001,ambiguous_reference,response_b,sliding_window@2048,594,0.4,0.6262626262626263,149,1.0,0.0,1.0,0.0
ambiguous_reference_001|rolling_summary|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_001,ambiguous_reference,response_b,rolling_summary@1024,594,0.4,0.6262626262626263,149,1.0,0.0,1.0,0.0
ambiguous_reference_001|rolling_summary|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_001,ambiguous_reference,response_b,rolling_summary@2048,594,0.4,0.6262626262626263,149,1.0,0.0,1.0,0.0
ambiguous_reference_001|semantic_retrieval|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_001,ambiguous_reference,response_b,semantic_retrieval@1024,594,0.4,0.6262626262626263,149,1.0,0.0,1.0,0.0
ambiguous_reference_001|oracle_tree|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_001,ambiguous_reference,response_b,oracle_tree,222,1.0,0.0,130,1.0,0.0,1.0,0.0
ambiguous_reference_001|oracle_dag|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_001,ambiguous_reference,response_b,oracle_dag,222,1.0,0.0,130,1.0,0.0,1.0,0.0
ambiguous_reference_001|semantic_retrieval|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_001,ambiguous_reference,response_b,semantic_retrieval@2048,594,0.4,0.6262626262626263,149,1.0,0.0,1.0,0.0
ambiguous_reference_002|sliding_window|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_002,ambiguous_reference,response_a,sliding_window@1024,732,0.3333333333333333,0.6762295081967213,153,0.3333333333333333,1.0,0.3333333333333333,1.0
ambiguous_reference_002|full_history|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_002,ambiguous_reference,response_a,full_history,732,0.3333333333333333,0.6762295081967213,153,0.3333333333333333,1.0,0.3333333333333333,1.0
ambiguous_reference_002|sliding_window|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_002,ambiguous_reference,response_a,sliding_window@2048,732,0.3333333333333333,0.6762295081967213,154,0.3333333333333333,1.0,0.3333333333333333,1.0
ambiguous_reference_002|rolling_summary|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_002,ambiguous_reference,response_a,rolling_summary@1024,732,0.3333333333333333,0.6762295081967213,154,0.3333333333333333,1.0,0.3333333333333333,1.0
ambiguous_reference_002|semantic_retrieval|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_002,ambiguous_reference,response_a,semantic_retrieval@2048,732,0.3333333333333333,0.6762295081967213,163,0.3333333333333333,1.0,0.3333333333333333,1.0
ambiguous_reference_002|semantic_retrieval|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_002,ambiguous_reference,response_a,semantic_retrieval@1024,732,0.3333333333333333,0.6762295081967213,173,0.3333333333333333,1.0,0.3333333333333333,1.0
ambiguous_reference_002|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_002,ambiguous_reference,response_b,full_history,732,0.3333333333333333,0.6762295081967213,110,0.3333333333333333,1.0,0.0,1.0
ambiguous_reference_002|oracle_dag|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_002,ambiguous_reference,response_a,oracle_dag,237,1.0,0.0,148,0.3333333333333333,0.0,0.3333333333333333,0.0
ambiguous_reference_002|sliding_window|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_002,ambiguous_reference,response_b,sliding_window@1024,732,0.3333333333333333,0.6762295081967213,110,0.3333333333333333,1.0,0.0,1.0
ambiguous_reference_002|sliding_window|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_002,ambiguous_reference,response_b,sliding_window@2048,732,0.3333333333333333,0.6762295081967213,110,0.3333333333333333,1.0,0.0,1.0
ambiguous_reference_002|rolling_summary|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_002,ambiguous_reference,response_b,rolling_summary@1024,732,0.3333333333333333,0.6762295081967213,110,0.3333333333333333,1.0,0.3333333333333333,1.0
ambiguous_reference_002|rolling_summary|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_002,ambiguous_reference,response_b,rolling_summary@2048,732,0.3333333333333333,0.6762295081967213,110,0.3333333333333333,1.0,0.0,1.0
ambiguous_reference_002|semantic_retrieval|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_002,ambiguous_reference,response_b,semantic_retrieval@1024,732,0.3333333333333333,0.6762295081967213,110,0.3333333333333333,1.0,0.0,1.0
ambiguous_reference_002|oracle_tree|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_002,ambiguous_reference,response_b,oracle_tree,237,1.0,0.0,169,0.3333333333333333,0.0,0.3333333333333333,0.0
ambiguous_reference_002|oracle_tree|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_002,ambiguous_reference,response_a,oracle_tree,237,1.0,0.0,148,0.3333333333333333,0.0,0.3333333333333333,0.0
ambiguous_reference_003|full_history|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_003,ambiguous_reference,response_a,full_history,656,0.4,0.5884146341463414,133,1.0,1.0,1.0,0.0
ambiguous_reference_002|oracle_dag|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_002,ambiguous_reference,response_b,oracle_dag,237,1.0,0.0,169,0.3333333333333333,0.0,0.3333333333333333,0.0
ambiguous_reference_003|sliding_window|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_003,ambiguous_reference,response_a,sliding_window@2048,656,0.4,0.5884146341463414,133,1.0,1.0,1.0,1.0
ambiguous_reference_002|semantic_retrieval|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_002,ambiguous_reference,response_b,semantic_retrieval@2048,732,0.3333333333333333,0.6762295081967213,110,0.3333333333333333,1.0,0.3333333333333333,1.0
ambiguous_reference_003|rolling_summary|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_003,ambiguous_reference,response_a,rolling_summary@2048,656,0.4,0.5884146341463414,149,1.0,1.0,1.0,0.0
ambiguous_reference_003|rolling_summary|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_003,ambiguous_reference,response_a,rolling_summary@1024,656,0.4,0.5884146341463414,137,1.0,1.0,1.0,1.0
ambiguous_reference_003|semantic_retrieval|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_003,ambiguous_reference,response_a,semantic_retrieval@2048,656,0.4,0.5884146341463414,157,1.0,1.0,1.0,0.0
ambiguous_reference_003|semantic_retrieval|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_003,ambiguous_reference,response_a,semantic_retrieval@1024,656,0.4,0.5884146341463414,137,1.0,1.0,1.0,1.0
ambiguous_reference_003|oracle_tree|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_003,ambiguous_reference,response_a,oracle_tree,270,1.0,0.0,125,1.0,0.0,1.0,0.0
ambiguous_reference_003|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_003,ambiguous_reference,response_b,full_history,656,0.4,0.5884146341463414,117,0.75,1.0,1.0,1.0
ambiguous_reference_003|sliding_window|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_003,ambiguous_reference,response_b,sliding_window@1024,656,0.4,0.5884146341463414,117,0.75,1.0,1.0,1.0
ambiguous_reference_003|sliding_window|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_003,ambiguous_reference,response_b,sliding_window@2048,656,0.4,0.5884146341463414,117,0.75,1.0,1.0,1.0
ambiguous_reference_003|oracle_dag|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_003,ambiguous_reference,response_a,oracle_dag,270,1.0,0.0,117,1.0,0.0,1.0,0.0
ambiguous_reference_003|rolling_summary|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_003,ambiguous_reference,response_b,rolling_summary@1024,656,0.4,0.5884146341463414,117,0.75,1.0,1.0,1.0
ambiguous_reference_003|rolling_summary|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_003,ambiguous_reference,response_b,rolling_summary@2048,656,0.4,0.5884146341463414,117,0.75,1.0,1.0,1.0
ambiguous_reference_003|semantic_retrieval|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_003,ambiguous_reference,response_b,semantic_retrieval@1024,656,0.4,0.5884146341463414,117,0.75,1.0,1.0,1.0
ambiguous_reference_003|semantic_retrieval|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_003,ambiguous_reference,response_b,semantic_retrieval@2048,656,0.4,0.5884146341463414,117,0.75,1.0,1.0,1.0
ambiguous_reference_004|full_history|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_004,ambiguous_reference,response_a,full_history,796,0.4,0.6206030150753769,39,1.0,0.0,1.0,0.0
ambiguous_reference_003|sliding_window|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_003,ambiguous_reference,response_a,sliding_window@1024,656,0.4,0.5884146341463414,137,1.0,1.0,1.0,1.0
ambiguous_reference_003|oracle_tree|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_003,ambiguous_reference,response_b,oracle_tree,270,1.0,0.0,121,1.0,0.0,1.0,0.0
ambiguous_reference_004|rolling_summary|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_004,ambiguous_reference,response_a,rolling_summary@1024,796,0.4,0.6206030150753769,39,1.0,0.0,1.0,0.0
ambiguous_reference_003|oracle_dag|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_003,ambiguous_reference,response_b,oracle_dag,270,1.0,0.0,121,1.0,0.0,1.0,0.0
ambiguous_reference_004|rolling_summary|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_004,ambiguous_reference,response_a,rolling_summary@2048,796,0.4,0.6206030150753769,39,1.0,0.0,1.0,0.0
ambiguous_reference_004|semantic_retrieval|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_004,ambiguous_reference,response_a,semantic_retrieval@1024,796,0.4,0.6206030150753769,39,1.0,0.0,1.0,0.0
ambiguous_reference_004|oracle_tree|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_004,ambiguous_reference,response_a,oracle_tree,302,1.0,0.0,34,1.0,0.0,1.0,0.0
ambiguous_reference_004|semantic_retrieval|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_004,ambiguous_reference,response_a,semantic_retrieval@2048,796,0.4,0.6206030150753769,39,1.0,0.0,1.0,0.0
ambiguous_reference_004|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_004,ambiguous_reference,response_b,full_history,796,0.4,0.6206030150753769,84,1.0,0.0,1.0,0.0
ambiguous_reference_004|sliding_window|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_004,ambiguous_reference,response_b,sliding_window@1024,796,0.4,0.6206030150753769,84,1.0,0.0,1.0,0.0
ambiguous_reference_004|sliding_window|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_004,ambiguous_reference,response_b,sliding_window@2048,796,0.4,0.6206030150753769,84,1.0,0.0,1.0,0.0
ambiguous_reference_004|sliding_window|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_004,ambiguous_reference,response_a,sliding_window@2048,796,0.4,0.6206030150753769,39,1.0,0.0,1.0,0.0
ambiguous_reference_004|rolling_summary|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_004,ambiguous_reference,response_b,rolling_summary@1024,796,0.4,0.6206030150753769,84,1.0,0.0,1.0,0.0
ambiguous_reference_004|rolling_summary|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_004,ambiguous_reference,response_b,rolling_summary@2048,796,0.4,0.6206030150753769,84,1.0,0.0,1.0,0.0
ambiguous_reference_004|oracle_dag|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_004,ambiguous_reference,response_a,oracle_dag,302,1.0,0.0,34,1.0,0.0,1.0,0.0
ambiguous_reference_004|oracle_tree|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_004,ambiguous_reference,response_b,oracle_tree,302,1.0,0.0,62,1.0,0.0,1.0,0.0
ambiguous_reference_004|semantic_retrieval|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_004,ambiguous_reference,response_b,semantic_retrieval@1024,796,0.4,0.6206030150753769,84,1.0,0.0,1.0,0.0
ambiguous_reference_004|sliding_window|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_004,ambiguous_reference,response_a,sliding_window@1024,796,0.4,0.6206030150753769,39,1.0,0.0,1.0,0.0
ambiguous_reference_004|semantic_retrieval|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_004,ambiguous_reference,response_b,semantic_retrieval@2048,796,0.4,0.6206030150753769,84,1.0,0.0,1.0,0.0
ambiguous_reference_005|full_history|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_005,ambiguous_reference,response_a,full_history,844,0.2857142857142857,0.693127962085308,205,0.0,1.0,0.3333333333333333,1.0
ambiguous_reference_004|oracle_dag|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_004,ambiguous_reference,response_b,oracle_dag,302,1.0,0.0,62,1.0,0.0,1.0,0.0
ambiguous_reference_005|rolling_summary|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_005,ambiguous_reference,response_a,rolling_summary@1024,844,0.2857142857142857,0.693127962085308,196,0.3333333333333333,0.0,0.3333333333333333,1.0
ambiguous_reference_005|semantic_retrieval|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_005,ambiguous_reference,response_a,semantic_retrieval@1024,844,0.2857142857142857,0.693127962085308,205,0.0,1.0,0.3333333333333333,1.0
ambiguous_reference_005|semantic_retrieval|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_005,ambiguous_reference,response_a,semantic_retrieval@2048,844,0.2857142857142857,0.693127962085308,205,0.0,1.0,0.0,1.0
ambiguous_reference_005|oracle_tree|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_005,ambiguous_reference,response_a,oracle_tree,259,1.0,0.0,196,0.3333333333333333,0.0,0.3333333333333333,0.0
ambiguous_reference_005|oracle_dag|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_005,ambiguous_reference,response_a,oracle_dag,259,1.0,0.0,220,0.3333333333333333,0.0,0.3333333333333333,0.0
ambiguous_reference_005|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_005,ambiguous_reference,response_b,full_history,844,0.2857142857142857,0.693127962085308,139,0.0,1.0,0.0,1.0
ambiguous_reference_005|sliding_window|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_005,ambiguous_reference,response_b,sliding_window@1024,844,0.2857142857142857,0.693127962085308,139,0.0,1.0,0.0,1.0
ambiguous_reference_005|sliding_window|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_005,ambiguous_reference,response_b,sliding_window@2048,844,0.2857142857142857,0.693127962085308,139,0.0,1.0,0.0,1.0
ambiguous_reference_005|rolling_summary|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_005,ambiguous_reference,response_a,rolling_summary@2048,844,0.2857142857142857,0.693127962085308,205,0.0,1.0,0.3333333333333333,1.0
ambiguous_reference_005|rolling_summary|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_005,ambiguous_reference,response_b,rolling_summary@1024,844,0.2857142857142857,0.693127962085308,139,0.0,1.0,0.0,1.0
ambiguous_reference_005|rolling_summary|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_005,ambiguous_reference,response_b,rolling_summary@2048,844,0.2857142857142857,0.693127962085308,139,0.0,1.0,0.0,1.0
ambiguous_reference_005|semantic_retrieval|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_005,ambiguous_reference,response_b,semantic_retrieval@1024,844,0.2857142857142857,0.693127962085308,139,0.0,1.0,0.0,1.0
ambiguous_reference_005|sliding_window|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_005,ambiguous_reference,response_a,sliding_window@1024,844,0.2857142857142857,0.693127962085308,205,0.0,1.0,0.3333333333333333,1.0
ambiguous_reference_005|oracle_tree|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_005,ambiguous_reference,response_b,oracle_tree,259,1.0,0.0,209,0.3333333333333333,0.0,0.3333333333333333,0.0
ambiguous_reference_005|sliding_window|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_005,ambiguous_reference,response_a,sliding_window@2048,844,0.2857142857142857,0.693127962085308,205,0.0,1.0,0.3333333333333333,1.0
ambiguous_reference_006|full_history|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_006,ambiguous_reference,response_a,full_history,605,0.4,0.5702479338842975,72,0.75,1.0,0.75,1.0
ambiguous_reference_005|semantic_retrieval|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_005,ambiguous_reference,response_b,semantic_retrieval@2048,844,0.2857142857142857,0.693127962085308,139,0.0,1.0,0.0,1.0
ambiguous_reference_006|sliding_window|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_006,ambiguous_reference,response_a,sliding_window@1024,605,0.4,0.5702479338842975,72,0.75,1.0,0.75,1.0
ambiguous_reference_005|oracle_dag|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_005,ambiguous_reference,response_b,oracle_dag,259,1.0,0.0,209,0.3333333333333333,0.0,0.3333333333333333,0.0
ambiguous_reference_006|rolling_summary|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_006,ambiguous_reference,response_a,rolling_summary@1024,605,0.4,0.5702479338842975,72,0.75,1.0,0.75,1.0
ambiguous_reference_006|semantic_retrieval|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_006,ambiguous_reference,response_a,semantic_retrieval@1024,605,0.4,0.5702479338842975,72,0.75,1.0,0.75,1.0
ambiguous_reference_006|oracle_tree|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_006,ambiguous_reference,response_a,oracle_tree,260,1.0,0.0,171,1.0,0.0,1.0,0.0
ambiguous_reference_006|oracle_dag|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_006,ambiguous_reference,response_a,oracle_dag,260,1.0,0.0,118,1.0,0.0,1.0,0.0
ambiguous_reference_006|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_006,ambiguous_reference,response_b,full_history,605,0.4,0.5702479338842975,163,0.75,1.0,1.0,1.0
ambiguous_reference_006|sliding_window|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_006,ambiguous_reference,response_b,sliding_window@1024,605,0.4,0.5702479338842975,163,0.75,1.0,1.0,1.0
ambiguous_reference_006|rolling_summary|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_006,ambiguous_reference,response_a,rolling_summary@2048,605,0.4,0.5702479338842975,72,0.75,1.0,0.75,1.0
ambiguous_reference_006|sliding_window|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_006,ambiguous_reference,response_b,sliding_window@2048,605,0.4,0.5702479338842975,163,0.75,1.0,1.0,1.0
ambiguous_reference_006|rolling_summary|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_006,ambiguous_reference,response_b,rolling_summary@1024,605,0.4,0.5702479338842975,163,0.75,1.0,1.0,1.0
ambiguous_reference_006|rolling_summary|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_006,ambiguous_reference,response_b,rolling_summary@2048,605,0.4,0.5702479338842975,162,0.75,1.0,1.0,1.0
ambiguous_reference_006|semantic_retrieval|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_006,ambiguous_reference,response_a,semantic_retrieval@2048,605,0.4,0.5702479338842975,72,0.75,1.0,0.75,1.0
ambiguous_reference_006|oracle_tree|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_006,ambiguous_reference,response_b,oracle_tree,260,1.0,0.0,147,1.0,0.0,1.0,0.0
ambiguous_reference_006|sliding_window|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_006,ambiguous_reference,response_a,sliding_window@2048,605,0.4,0.5702479338842975,72,0.75,1.0,0.75,1.0
ambiguous_reference_006|oracle_dag|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_006,ambiguous_reference,response_b,oracle_dag,260,1.0,0.0,147,1.0,0.0,1.0,0.0
ambiguous_reference_007|sliding_window|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_007,ambiguous_reference,response_a,sliding_window@1024,587,0.4,0.5928449744463373,57,1.0,0.0,1.0,0.0
ambiguous_reference_006|semantic_retrieval|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_006,ambiguous_reference,response_b,semantic_retrieval@1024,605,0.4,0.5702479338842975,163,0.75,1.0,1.0,1.0
ambiguous_reference_007|rolling_summary|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_007,ambiguous_reference,response_a,rolling_summary@1024,587,0.4,0.5928449744463373,59,1.0,0.0,1.0,0.0
ambiguous_reference_006|semantic_retrieval|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_006,ambiguous_reference,response_b,semantic_retrieval@2048,605,0.4,0.5702479338842975,163,0.75,1.0,1.0,1.0
ambiguous_reference_007|full_history|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_007,ambiguous_reference,response_a,full_history,587,0.4,0.5928449744463373,59,1.0,0.0,1.0,0.0
ambiguous_reference_007|semantic_retrieval|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_007,ambiguous_reference,response_a,semantic_retrieval@2048,587,0.4,0.5928449744463373,57,1.0,0.0,1.0,0.0
ambiguous_reference_007|rolling_summary|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_007,ambiguous_reference,response_a,rolling_summary@2048,587,0.4,0.5928449744463373,59,1.0,0.0,1.0,0.0
ambiguous_reference_007|semantic_retrieval|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_007,ambiguous_reference,response_a,semantic_retrieval@1024,587,0.4,0.5928449744463373,59,1.0,0.0,1.0,0.0
ambiguous_reference_007|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_007,ambiguous_reference,response_b,full_history,587,0.4,0.5928449744463373,64,1.0,0.0,1.0,0.0
ambiguous_reference_007|sliding_window|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_007,ambiguous_reference,response_b,sliding_window@1024,587,0.4,0.5928449744463373,64,1.0,0.0,1.0,0.0
ambiguous_reference_007|sliding_window|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_007,ambiguous_reference,response_b,sliding_window@2048,587,0.4,0.5928449744463373,64,1.0,0.0,1.0,0.0
ambiguous_reference_007|rolling_summary|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_007,ambiguous_reference,response_b,rolling_summary@1024,587,0.4,0.5928449744463373,64,1.0,0.0,1.0,0.0
ambiguous_reference_007|oracle_tree|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_007,ambiguous_reference,response_a,oracle_tree,239,1.0,0.0,39,1.0,0.0,1.0,0.0
ambiguous_reference_007|semantic_retrieval|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_007,ambiguous_reference,response_b,semantic_retrieval@1024,587,0.4,0.5928449744463373,64,1.0,0.0,1.0,0.0
ambiguous_reference_007|oracle_dag|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_007,ambiguous_reference,response_a,oracle_dag,239,1.0,0.0,39,1.0,0.0,1.0,0.0
ambiguous_reference_007|semantic_retrieval|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_007,ambiguous_reference,response_b,semantic_retrieval@2048,587,0.4,0.5928449744463373,64,1.0,0.0,1.0,0.0
ambiguous_reference_007|oracle_dag|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_007,ambiguous_reference,response_b,oracle_dag,239,1.0,0.0,43,1.0,0.0,1.0,0.0
ambiguous_reference_007|sliding_window|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_007,ambiguous_reference,response_a,sliding_window@2048,587,0.4,0.5928449744463373,59,1.0,0.0,1.0,0.0
ambiguous_reference_008|full_history|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_008,ambiguous_reference,response_a,full_history,588,0.4,0.5731292517006803,89,0.0,1.0,0.0,1.0
ambiguous_reference_007|oracle_tree|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_007,ambiguous_reference,response_b,oracle_tree,239,1.0,0.0,43,1.0,0.0,1.0,0.0
